Local time,Open,High,Low,Close,Volume
25.05.2021 09:30:00.000 GMT-0400,127.924,127.924,127.744,127.744,247499.9949999999
25.05.2021 09:30:01.000 GMT-0400,127.734,127.743,127.703,127.703,114999.9976
25.05.2021 09:30:02.000 GMT-0400,127.713,127.713,127.693,127.704,147499.997
25.05.2021 09:30:03.000 GMT-0400,127.704,127.743,127.683,127.684,227499.99539999993
25.05.2021 09:30:04.000 GMT-0400,127.693,127.704,127.693,127.704,114999.9976
25.05.2021 09:30:05.000 GMT-0400,127.694,127.694,127.663,127.674,107499.9978
25.05.2021 09:30:06.000 GMT-0400,127.684,127.744,127.684,127.743,119999.99759999999
25.05.2021 09:30:07.000 GMT-0400,127.744,127.744,127.713,127.723,94999.99799999999
25.05.2021 09:30:08.000 GMT-0400,127.713,127.723,127.713,127.723,27499.9994
25.05.2021 09:30:09.000 GMT-0400,127.723,127.733,127.723,127.733,27499.9994
25.05.2021 09:30:10.000 GMT-0400,127.734,127.753,127.724,127.753,79999.9984
25.05.2021 09:30:11.000 GMT-0400,127.744,127.804,127.744,127.803,139999.9972
25.05.2021 09:30:12.000 GMT-0400,127.803,127.803,127.783,127.783,47499.998999999996
25.05.2021 09:30:13.000 GMT-0400,127.803,127.814,127.793,127.814,114999.99759999999
25.05.2021 09:30:14.000 GMT-0400,127.804,127.813,127.794,127.794,67499.9986
25.05.2021 09:30:15.000 GMT-0400,127.793,127.814,127.784,127.814,219999.99559999994
25.05.2021 09:30:16.000 GMT-0400,127.823,127.824,127.803,127.824,114999.9976
25.05.2021 09:30:17.000 GMT-0400,127.813,127.814,127.804,127.813,74999.9984
25.05.2021 09:30:19.000 GMT-0400,127.793,127.794,127.774,127.793,114999.9976
25.05.2021 09:30:20.000 GMT-0400,127.793,127.794,127.773,127.773,87499.9982
25.05.2021 09:30:21.000 GMT-0400,127.764,127.773,127.733,127.773,187499.99619999997
25.05.2021 09:30:22.000 GMT-0400,127.773,127.793,127.763,127.793,142499.997
25.05.2021 09:30:23.000 GMT-0400,127.784,127.784,127.763,127.773,147499.997
25.05.2021 09:30:24.000 GMT-0400,127.774,127.774,127.774,127.774,39999.9992
25.05.2021 09:30:25.000 GMT-0400,127.774,127.774,127.723,127.734,174999.99639999997
25.05.2021 09:30:26.000 GMT-0400,127.734,127.734,127.703,127.703,159999.9968
25.05.2021 09:30:27.000 GMT-0400,127.714,127.714,127.704,127.704,67499.9986
25.05.2021 09:30:28.000 GMT-0400,127.704,127.734,127.693,127.723,74999.9984
25.05.2021 09:30:29.000 GMT-0400,127.703,127.724,127.703,127.724,67499.9986
25.05.2021 09:30:30.000 GMT-0400,127.723,127.734,127.723,127.733,87499.9982
25.05.2021 09:30:31.000 GMT-0400,127.733,127.733,127.693,127.693,79999.9984
