Local time,Open,High,Low,Close,Volume
02.06.2021 09:30:00.000 GMT-0400,124.277,124.277,124.157,124.157,160459.9968
02.06.2021 09:30:01.000 GMT-0400,124.157,124.206,124.157,124.196,239999.99519999992
02.06.2021 09:30:02.000 GMT-0400,124.177,124.197,124.167,124.186,179999.99639999997
02.06.2021 09:30:03.000 GMT-0400,124.197,124.217,124.186,124.187,219999.99559999994
02.06.2021 09:30:04.000 GMT-0400,124.177,124.186,124.176,124.176,139999.9972
02.06.2021 09:30:05.000 GMT-0400,124.177,124.187,124.166,124.166,160459.9968
02.06.2021 09:30:06.000 GMT-0400,124.167,124.167,124.106,124.107,239999.99519999992
02.06.2021 09:30:07.000 GMT-0400,124.147,124.176,124.106,124.117,180459.99639999997
02.06.2021 09:30:08.000 GMT-0400,124.166,124.196,124.166,124.196,120919.9976
02.06.2021 09:30:09.000 GMT-0400,124.176,124.187,124.136,124.136,179999.99639999997
02.06.2021 09:30:10.000 GMT-0400,124.137,124.137,124.107,124.107,60149.998799999994
02.06.2021 09:30:11.000 GMT-0400,124.117,124.117,124.106,124.107,80149.9984
02.06.2021 09:30:12.000 GMT-0400,124.107,124.117,124.106,124.116,100759.99799999999
02.06.2021 09:30:13.000 GMT-0400,124.116,124.117,124.107,124.107,79999.9984
02.06.2021 09:30:14.000 GMT-0400,124.107,124.107,124.107,124.107,19999.9996
02.06.2021 09:30:15.000 GMT-0400,124.107,124.107,124.096,124.097,80149.9984
02.06.2021 09:30:16.000 GMT-0400,124.127,124.187,124.096,124.166,139999.9972
02.06.2021 09:30:17.000 GMT-0400,124.167,124.186,124.146,124.146,59999.998799999994
02.06.2021 09:30:18.000 GMT-0400,124.147,124.197,124.147,124.196,61379.9988
02.06.2021 09:30:19.000 GMT-0400,124.196,124.226,124.196,124.197,99999.99799999999
02.06.2021 09:30:20.000 GMT-0400,124.196,124.207,124.196,124.207,120149.99759999999
02.06.2021 09:30:21.000 GMT-0400,124.207,124.207,124.197,124.197,39999.9992
02.06.2021 09:30:22.000 GMT-0400,124.197,124.197,124.176,124.176,79999.9984
02.06.2021 09:30:23.000 GMT-0400,124.186,124.187,124.166,124.166,20609.9996
02.06.2021 09:30:24.000 GMT-0400,124.156,124.257,124.156,124.226,180919.99639999995
02.06.2021 09:30:25.000 GMT-0400,124.236,124.236,124.227,124.227,79999.9984
02.06.2021 09:30:26.000 GMT-0400,124.227,124.227,124.216,124.216,60459.9988
02.06.2021 09:30:27.000 GMT-0400,124.227,124.237,124.216,124.226,180459.99639999997
02.06.2021 09:30:28.000 GMT-0400,124.237,124.246,124.227,124.246,79999.9984
02.06.2021 09:30:29.000 GMT-0400,124.267,124.276,124.246,124.267,140609.9972
02.06.2021 09:30:30.000 GMT-0400,124.257,124.276,124.257,124.276,20919.999599999996
02.06.2021 09:30:31.000 GMT-0400,124.266,124.266,124.256,124.256,139999.9972
