time,open,high,low,close,Shapes,Shapes,Volume,Volume MA
2021-06-09T13:30:00Z,127.21,127.32,127.2,127.27,0,0,1600,1366
2021-06-09T13:30:01Z,127.27,127.28,127.26,127.27,0,0,1759,1413.95
2021-06-09T13:30:02Z,127.27,127.3,127.25,127.29,0,0,39718,3327.05
2021-06-09T13:30:03Z,127.29,127.29,127.29,127.29,0,0,142,3291.95
2021-06-09T13:30:04Z,127.33,127.35,127.33,127.34,0,0,800,3252
2021-06-09T13:30:05Z,127.35,127.35,127.35,127.35,0,0,1020,3270.15
2021-06-09T13:30:06Z,127.36,127.36,127.36,127.36,0,0,100,3211.1
2021-06-09T13:30:07Z,127.38,127.38,127.33,127.33,0,1,700,3172.95
2021-06-09T13:30:08Z,127.3,127.3,127.24,127.26,0,0,1150,2966.4
2021-06-09T13:30:09Z,127.24,127.26,127.24,127.26,0,0,200,2971.4
2021-06-09T13:30:10Z,127.25,127.33,127.24,127.33,1,0,900,2976.25
2021-06-09T13:30:11Z,127.3,127.33,127.3,127.33,0,0,300,2859
2021-06-09T13:30:12Z,127.34,127.42,127.34,127.42,0,0,2500,2813.8
2021-06-09T13:30:13Z,127.43,127.43,127.42,127.43,0,0,500,2828.8
2021-06-09T13:30:14Z,127.41,127.41,127.4,127.4,0,1,524,2820
2021-06-09T13:30:15Z,127.39,127.39,127.39,127.39,0,0,200,2724.45
2021-06-09T13:30:18Z,127.42,127.43,127.42,127.43,1,0,780,2720.8
2021-06-09T13:30:19Z,127.42,127.42,127.42,127.42,0,0,400,2705.55
2021-06-09T13:30:20Z,127.44,127.44,127.44,127.44,0,0,200,2684.85
2021-06-09T13:30:21Z,127.44,127.44,127.44,127.44,0,0,200,2684.65
2021-06-09T13:30:22Z,127.47,127.47,127.47,127.47,0,0,1919,2700.6
2021-06-09T13:30:23Z,127.49,127.49,127.47,127.47,0,0,200,2622.65
2021-06-09T13:30:24Z,127.46,127.48,127.46,127.48,0,0,366,655.05
2021-06-09T13:30:25Z,127.46,127.46,127.45,127.45,0,0,300,662.95
2021-06-09T13:30:28Z,127.44,127.44,127.43,127.43,0,0,200,632.95
2021-06-09T13:30:29Z,127.38,127.38,127.38,127.38,0,0,600,611.95
2021-06-09T13:30:32Z,127.34,127.34,127.34,127.34,0,0,100,611.95
2021-06-09T13:30:35Z,127.37,127.37,127.37,127.37,1,0,100,581.95
2021-06-09T13:30:36Z,127.37,127.37,127.37,127.37,0,0,100,529.45
2021-06-09T13:30:37Z,127.37,127.39,127.37,127.39,0,0,200,529.45
2021-06-09T13:30:41Z,127.39,127.39,127.39,127.39,0,0,100,489.45
2021-06-09T13:30:42Z,127.43,127.43,127.41,127.41,0,0,1700,559.45
2021-06-09T13:30:43Z,127.4,127.4,127.4,127.4,0,1,300,449.45
2021-06-09T13:30:44Z,127.39,127.39,127.39,127.39,0,0,100,429.45
2021-06-09T13:30:45Z,127.4,127.43,127.4,127.43,1,0,300,418.25
2021-06-09T13:30:47Z,127.45,127.45,127.44,127.44,0,0,650,440.75
2021-06-09T13:30:48Z,127.49,127.52,127.49,127.52,0,0,1200,461.75
2021-06-09T13:30:49Z,127.46,127.46,127.46,127.46,0,1,200,451.75
2021-06-09T13:30:50Z,127.47,127.47,127.45,127.45,0,0,943,488.9
2021-06-09T13:30:51Z,127.49,127.49,127.49,127.49,1,0,102,484
2021-06-09T13:30:52Z,127.48,127.48,127.47,127.48,0,1,712,423.65
2021-06-09T13:30:55Z,127.46,127.46,127.46,127.46,0,0,100,418.65
2021-06-09T13:30:56Z,127.45,127.45,127.45,127.45,0,0,100,405.35
2021-06-09T13:30:57Z,127.46,127.5,127.46,127.49,1,0,500,415.35
2021-06-09T13:30:58Z,127.47,127.48,127.46,127.48,0,0,1951,502.9
2021-06-09T13:30:59Z,127.46,127.46,127.46,127.46,0,1,100,477.9
2021-06-09T13:31:01Z,127.49,127.5,127.49,127.5,1,0,300,487.9
2021-06-09T13:31:02Z,127.48,127.48,127.47,127.47,0,1,600,512.9
2021-06-09T13:31:04Z,127.51,127.58,127.51,127.58,1,0,1150,565.4
2021-06-09T13:31:05Z,127.59,127.62,127.59,127.62,0,0,2100,660.4
2021-06-09T13:31:06Z,127.61,127.68,127.6,127.68,0,0,1000,705.4
2021-06-09T13:31:07Z,127.67,127.7,127.67,127.7,0,0,1316,686.2
2021-06-09T13:31:08Z,127.7,127.7,127.66,127.68,0,0,1000,721.2
2021-06-09T13:31:09Z,127.7,127.72,127.7,127.71,0,0,1000,766.2
2021-06-09T13:31:10Z,127.69,127.73,127.69,127.73,0,0,8021,1152.25
2021-06-09T13:31:11Z,127.73,127.73,127.7,127.7,0,0,1457,1192.6
2021-06-09T13:31:12Z,127.7,127.7,127.67,127.68,0,1,700,1167.6
2021-06-09T13:31:13Z,127.66,127.66,127.66,127.66,0,0,300,1172.6
2021-06-09T13:31:15Z,127.61,127.61,127.61,127.61,0,0,100,1130.45
2021-06-09T13:31:16Z,127.6,127.6,127.6,127.6,0,0,100,1130.35
2021-06-09T13:31:17Z,127.6,127.6,127.6,127.6,0,0,200,1104.75
2021-06-09T13:31:19Z,127.6,127.6,127.6,127.6,0,0,200,1109.75
2021-06-09T13:31:22Z,127.55,127.55,127.55,127.55,0,0,100,1109.75
2021-06-09T13:31:23Z,127.57,127.6,127.57,127.6,1,0,200,1094.75
2021-06-09T13:31:24Z,127.61,127.61,127.61,127.61,0,0,100,1002.2
2021-06-09T13:31:29Z,127.6,127.61,127.57,127.57,0,1,1110,1052.7
2021-06-09T13:31:31Z,127.56,127.58,127.56,127.58,0,0,300,1052.7
2021-06-09T13:31:42Z,127.6,127.61,127.6,127.6,1,0,300,1037.7
2021-06-09T13:31:43Z,127.57,127.57,127.56,127.56,0,1,300,995.2
2021-06-09T13:31:45Z,127.6,127.6,127.6,127.6,1,0,400,910.2
2021-06-09T13:31:46Z,127.59,127.59,127.59,127.59,0,1,200,870.2
2021-06-09T13:31:47Z,127.58,127.58,127.58,127.58,0,0,100,809.4
2021-06-09T13:31:48Z,127.57,127.57,127.57,127.57,0,0,100,764.4
2021-06-09T13:31:49Z,127.58,127.58,127.58,127.58,1,0,100,719.4
2021-06-09T13:31:50Z,127.56,127.56,127.56,127.56,0,1,100,323.35
2021-06-09T13:31:52Z,127.56,127.56,127.55,127.55,0,0,200,260.5
2021-06-09T13:31:53Z,127.53,127.53,127.53,127.53,0,0,100,230.5
2021-06-09T13:31:55Z,127.57,127.58,127.57,127.58,1,0,249,227.95
2021-06-09T13:31:57Z,127.59,127.59,127.59,127.59,0,0,200,232.95
2021-06-09T13:31:59Z,127.58,127.58,127.58,127.58,0,1,171,236.5
2021-06-09T13:32:01Z,127.59,127.6,127.59,127.59,1,0,400,246.5
2021-06-09T13:32:02Z,127.59,127.64,127.59,127.64,0,0,4600,466.5
2021-06-09T13:32:03Z,127.63,127.63,127.62,127.62,0,0,200,471.5
2021-06-09T13:32:05Z,127.6,127.6,127.6,127.6,0,1,100,466.5
2021-06-09T13:32:06Z,127.6,127.6,127.6,127.6,0,0,100,466.5
2021-06-09T13:32:09Z,127.5,127.5,127.5,127.5,0,0,100,416
2021-06-09T13:32:10Z,127.46,127.46,127.46,127.46,0,0,100,406
2021-06-09T13:32:11Z,127.42,127.42,127.42,127.42,0,0,100,396
2021-06-09T13:32:12Z,127.42,127.42,127.42,127.42,0,0,100,386
2021-06-09T13:32:13Z,127.41,127.41,127.41,127.41,0,0,200,376
2021-06-09T13:32:14Z,127.41,127.41,127.41,127.41,0,0,100,371
2021-06-09T13:32:15Z,127.36,127.36,127.33,127.33,0,0,500,391
2021-06-09T13:32:17Z,127.33,127.33,127.33,127.33,0,0,1100,441
2021-06-09T13:32:18Z,127.32,127.35,127.32,127.35,1,0,300,451
2021-06-09T13:32:19Z,127.35,127.35,127.35,127.35,0,0,100,451
2021-06-09T13:32:20Z,127.36,127.36,127.315,127.32,0,1,400,461
2021-06-09T13:32:21Z,127.34,127.38,127.34,127.38,1,0,1100,511
2021-06-09T13:32:22Z,127.37,127.39,127.37,127.39,0,0,1500,573.55
2021-06-09T13:32:23Z,127.4,127.44,127.4,127.44,0,0,3900,758.55
2021-06-09T13:32:25Z,127.48,127.48,127.47,127.47,0,0,200,760
2021-06-09T13:32:26Z,127.51,127.51,127.51,127.51,0,0,100,745
2021-06-09T13:32:28Z,127.5,127.5,127.49,127.49,0,1,200,525
2021-06-09T13:32:31Z,127.5,127.5,127.5,127.5,0,0,100,520
2021-06-09T13:32:32Z,127.48,127.48,127.48,127.48,0,0,100,520
2021-06-09T13:32:35Z,127.51,127.51,127.48,127.48,0,0,200,525
2021-06-09T13:32:38Z,127.44,127.45,127.44,127.45,0,0,200,530
2021-06-09T13:32:40Z,127.44,127.44,127.44,127.44,0,0,100,530
2021-06-09T13:32:42Z,127.39,127.39,127.38,127.38,0,0,1158,582.9
2021-06-09T13:32:44Z,127.39,127.39,127.39,127.39,0,0,100,582.9
2021-06-09T13:32:45Z,127.38,127.38,127.38,127.38,0,0,200,582.9
2021-06-09T13:32:47Z,127.35,127.35,127.35,127.35,0,0,100,582.9
2021-06-09T13:32:48Z,127.33,127.33,127.33,127.33,0,0,100,562.9
2021-06-09T13:32:52Z,127.38,127.38,127.38,127.38,1,0,100,512.9
2021-06-09T13:32:55Z,127.38,127.38,127.38,127.38,0,0,100,502.9
2021-06-09T13:32:56Z,127.38,127.38,127.38,127.38,0,0,100,502.9
2021-06-09T13:32:59Z,127.37,127.37,127.37,127.37,0,0,100,487.9
2021-06-09T13:33:00Z,127.39,127.39,127.39,127.39,1,0,100,437.9
2021-06-09T13:33:01Z,127.4,127.4,127.4,127.4,0,0,900,407.9
2021-06-09T13:33:02Z,127.42,127.42,127.42,127.42,0,0,400,232.9
2021-06-09T13:33:03Z,127.42,127.42,127.42,127.42,0,0,100,227.9
2021-06-09T13:33:04Z,127.42,127.42,127.42,127.42,0,0,1100,277.9
2021-06-09T13:33:05Z,127.43,127.43,127.42,127.42,0,0,1300,332.9
2021-06-09T13:33:06Z,127.42,127.43,127.38,127.38,0,0,800,367.9
2021-06-09T13:33:07Z,127.4,127.4,127.4,127.4,0,0,100,367.9
2021-06-09T13:33:08Z,127.41,127.41,127.41,127.41,1,0,100,362.9
2021-06-09T13:33:09Z,127.38,127.38,127.38,127.38,0,1,200,362.9
2021-06-09T13:33:11Z,127.39,127.39,127.39,127.39,1,0,200,367.9
2021-06-09T13:33:13Z,127.38,127.39,127.38,127.39,0,0,200,320
2021-06-09T13:33:14Z,127.42,127.42,127.42,127.42,0,0,100,320
2021-06-09T13:33:17Z,127.38,127.39,127.38,127.39,0,1,400,330
2021-06-09T13:33:18Z,127.39,127.39,127.39,127.39,1,0,100,330
2021-06-09T13:33:19Z,127.4,127.4,127.4,127.4,0,0,1400,395
2021-06-09T13:33:23Z,127.42,127.42,127.42,127.42,0,0,600,420
2021-06-09T13:33:25Z,127.43,127.45,127.43,127.45,0,0,800,455
2021-06-09T13:33:26Z,127.44,127.44,127.44,127.44,0,0,100,455
2021-06-09T13:33:31Z,127.41,127.41,127.37,127.38,0,1,900,495
2021-06-09T13:33:36Z,127.37,127.38,127.37,127.38,0,0,400,510
2021-06-09T13:33:37Z,127.38,127.38,127.38,127.38,1,0,100,470
2021-06-09T13:33:40Z,127.38,127.38,127.38,127.38,0,0,100,455
2021-06-09T13:33:44Z,127.34,127.35,127.34,127.35,0,0,200,460
2021-06-09T13:33:45Z,127.34,127.34,127.34,127.34,0,0,100,410
2021-06-09T13:33:46Z,127.33,127.33,127.32,127.32,0,0,900,390
2021-06-09T13:33:48Z,127.31,127.31,127.31,127.31,0,0,200,360
2021-06-09T13:33:49Z,127.31,127.31,127.31,127.31,0,0,200,365
2021-06-09T13:33:50Z,127.31,127.31,127.31,127.31,0,0,100,365
2021-06-09T13:33:51Z,127.3,127.3,127.29,127.29,0,0,434,376.7
2021-06-09T13:33:53Z,127.27,127.27,127.27,127.27,0,0,100,371.7
2021-06-09T13:33:57Z,127.28,127.28,127.28,127.28,1,0,200,371.7
2021-06-09T13:33:58Z,127.26,127.26,127.26,127.26,0,1,100,371.7
2021-06-09T13:33:59Z,127.25,127.25,127.22,127.22,0,0,500,376.7
2021-06-09T13:34:00Z,127.21,127.22,127.21,127.22,0,0,785,410.95
2021-06-09T13:34:02Z,127.21,127.21,127.17,127.19,0,0,600,370.95
2021-06-09T13:34:03Z,127.19,127.19,127.18,127.18,0,0,400,360.95
2021-06-09T13:34:04Z,127.2,127.2,127.2,127.2,1,0,100,325.95
2021-06-09T13:34:06Z,127.23,127.23,127.2,127.2,0,0,400,340.95
2021-06-09T13:34:07Z,127.21,127.21,127.21,127.21,0,0,200,305.95
2021-06-09T13:34:08Z,127.17,127.17,127.17,127.17,0,0,100,290.95
2021-06-09T13:34:11Z,127.19,127.19,127.19,127.19,1,0,100,290.95
2021-06-09T13:34:12Z,127.18,127.18,127.18,127.18,0,1,100,290.95
2021-06-09T13:34:14Z,127.22,127.22,127.21,127.21,1,0,400,300.95
2021-06-09T13:34:17Z,127.2,127.21,127.2,127.21,0,1,200,305.95
2021-06-09T13:34:20Z,127.21,127.21,127.21,127.21,1,0,100,265.95
2021-06-09T13:34:21Z,127.25,127.27,127.25,127.26,0,0,500,280.95
2021-06-09T13:34:23Z,127.26,127.26,127.25,127.25,0,0,200,280.95
2021-06-09T13:34:25Z,127.24,127.24,127.23,127.23,0,0,200,285.95
2021-06-09T13:34:26Z,127.23,127.24,127.23,127.24,0,0,300,279.25
2021-06-09T13:34:30Z,127.25,127.26,127.25,127.26,0,0,200,284.25
2021-06-09T13:34:32Z,127.26,127.26,127.26,127.26,0,0,200,284.25
2021-06-09T13:34:33Z,127.27,127.27,127.27,127.27,0,0,100,284.25
2021-06-09T13:34:36Z,127.25,127.25,127.25,127.25,0,1,200,269.25
2021-06-09T13:34:37Z,127.26,127.26,127.26,127.26,1,0,300,245
2021-06-09T13:34:38Z,127.21,127.21,127.21,127.21,0,1,100,220
2021-06-09T13:34:39Z,127.21,127.22,127.21,127.22,1,0,200,210
2021-06-09T13:34:40Z,127.22,127.23,127.22,127.23,0,0,300,220
2021-06-09T13:34:41Z,127.24,127.24,127.24,127.24,0,0,100,205
2021-06-09T13:34:42Z,127.24,127.24,127.23,127.23,0,1,300,210
2021-06-09T13:34:44Z,127.21,127.21,127.21,127.21,0,0,100,210
2021-06-09T13:34:45Z,127.22,127.22,127.22,127.22,1,0,100,210
2021-06-09T13:34:46Z,127.22,127.22,127.22,127.22,0,0,100,210
2021-06-09T13:34:47Z,127.21,127.21,127.21,127.21,0,0,200,200
2021-06-09T13:34:48Z,127.19,127.19,127.19,127.19,0,0,100,195
2021-06-09T13:34:50Z,127.18,127.18,127.18,127.18,0,0,1100,245
2021-06-09T13:34:52Z,127.17,127.17,127.17,127.17,0,0,100,225
2021-06-09T13:34:53Z,127.15,127.15,127.15,127.15,0,0,100,220
2021-06-09T13:34:54Z,127.15,127.15,127.15,127.15,0,0,200,220
2021-06-09T13:34:55Z,127.15,127.17,127.15,127.15,0,0,723,241.15
2021-06-09T13:34:56Z,127.15,127.16,127.15,127.16,0,0,707,266.5
2021-06-09T13:34:58Z,127.14,127.14,127.14,127.14,0,1,100,261.5
2021-06-09T13:34:59Z,127.15,127.16,127.15,127.16,1,0,400,276.5
2021-06-09T13:35:00Z,127.14,127.14,127.14,127.14,0,1,200,276.5
2021-06-09T13:35:01Z,127.14,127.15,127.14,127.15,1,0,400,281.5
2021-06-09T13:35:02Z,127.14,127.15,127.14,127.15,0,0,400,296.5
2021-06-09T13:35:03Z,127.16,127.16,127.16,127.16,0,0,200,296.5
2021-06-09T13:35:06Z,127.14,127.14,127.14,127.14,0,1,200,291.5
2021-06-09T13:35:07Z,127.13,127.14,127.13,127.14,0,0,485,310.75
2021-06-09T13:35:08Z,127.14,127.14,127.13,127.13,0,0,913,341.4
2021-06-09T13:35:13Z,127.14,127.14,127.14,127.14,0,0,586,365.7
2021-06-09T13:35:15Z,127.15,127.15,127.13,127.13,0,0,578,389.6
2021-06-09T13:35:16Z,127.13,127.13,127.13,127.13,0,0,200,394.6
2021-06-09T13:35:17Z,127.12,127.12,127.12,127.12,0,0,200,394.6
2021-06-09T13:35:19Z,127.14,127.16,127.14,127.16,1,0,300,404.6
